mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
3.349067449569702,0.8786781279173475,2.0875571966171265,0.21562376944923584,RandomForestClassifier(random_state=42),0.2,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.595535397529602,0.3608163154512104,1.8507710695266724,0.08411363909081392,RandomForestClassifier(random_state=42),0.2,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.9539822340011597,0.29102385875154785,2.1388059854507446,0.17771228064360084,RandomForestClassifier(random_state=42),0.2,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.6304134130477905,0.30420792831673305,2.0177953243255615,0.2250704243272269,RandomForestClassifier(random_state=42),0.2,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.675121784210205,0.2859751304869743,1.9941786527633667,0.06604018275941326,RandomForestClassifier(random_state=42),0.2,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.677361488342285,0.2697431056085751,1.9429407119750977,0.05824971970768108,RandomForestClassifier(random_state=42),0.2,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.12590134143829346,0.0544604283715511,0.011744558811187744,0.005308426864935599,RandomForestClassifier(random_state=42),0.3,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.20222949981689453,0.13566411399444528,0.012336432933807373,0.004116543552588223,RandomForestClassifier(random_state=42),0.3,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.07380002737045288,0.004946109753509122,0.0073209404945373535,0.00014187942637096108,RandomForestClassifier(random_state=42),0.3,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.08569073677062988,0.01061300361396217,0.006962716579437256,0.0006170410868625797,RandomForestClassifier(random_state=42),0.3,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.933867630496844,0.5952380952380952,0.5333333333333333,0.6281097647670681,0.18389812354530932,24,0.6,0.9438202247191011,0.7142857142857143,0.6666666666666666,0.7311931514178704,0.12929756759537703,21
0.0803687572479248,0.004787618533136898,0.007055521011352539,0.0006368548748443935,RandomForestClassifier(random_state=42),0.3,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8762974852862493,0.5952380952380952,0.5333333333333333,0.6137172284644195,0.16012086929092872,25,0.6,0.9101123595505618,0.7142857142857143,0.6666666666666666,0.7227661851257356,0.11553051505874072,23
0.0896797776222229,0.019179026392124487,0.006780803203582764,0.0005355163744415503,RandomForestClassifier(random_state=42),0.3,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.06915050745010376,0.001489316099699914,0.007017254829406738,0.00014149740947751036,RandomForestClassifier(random_state=42),0.4,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.8762974852862493,0.5952380952380952,0.6793516560958421,0.6712882427214802,0.1290858250622195,22,0.64,0.9101123595505618,0.7142857142857143,0.7407407407407407,0.7512847036442543,0.09885672702596665,18
0.07274329662322998,0.004368650830923484,0.0073400139808654785,0.00022951106506563347,RandomForestClassifier(random_state=42),0.4,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.9775280898876404,0.5952380952380952,0.6121212121212122,0.6797882828781706,0.17432252545747953,21,0.64,0.9775280898876404,0.7142857142857143,0.7037037037037037,0.7588793769692647,0.12939524295864302,17
0.07350915670394897,0.003529566603570672,0.007346034049987793,0.0002009817359763833,RandomForestClassifier(random_state=42),0.4,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.07132971286773682,0.002059780445107797,0.006441056728363037,0.0002280277952570306,RandomForestClassifier(random_state=42),0.4,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.7386759581881532,0.6793516560958421,0.7170069035709988,0.19574552662287276,18,0.6,1.0,0.7301587301587301,0.7407407407407407,0.7677248677248678,0.1451057598163216,15
0.06918489933013916,0.00277443216926768,0.006453990936279297,0.000254889142656616,RandomForestClassifier(random_state=42),0.4,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.9491837293974866,0.8398268398268398,0.738095238095238,0.7442764518298912,0.1855759322698897,13,0.6,0.9550561797752809,0.8571428571428571,0.7777777777777778,0.7974942036739789,0.13016953955182547,8
0.07488101720809937,0.0072490244198623694,0.006354331970214844,0.0002993508806929887,RandomForestClassifier(random_state=42),0.4,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.9491837293974866,0.8016717325227964,0.6121212121212122,0.7032441685103739,0.18881886494228872,19,0.6,0.9550561797752809,0.8095238095238095,0.7037037037037037,0.7670709232506986,0.13140472036088408,16
0.07257169485092163,0.002662447389546512,0.007318079471588135,0.00010296527709942274,RandomForestClassifier(random_state=42),0.5,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9785094581140663,0.5952380952380952,0.9623741388447271,0.7675968566156557,0.20406694393265382,7,0.64,0.9775280898876404,0.7142857142857143,0.9629629629629629,0.8236941917840794,0.1489751907828359,3
0.07346189022064209,0.002896220032767939,0.00735098123550415,0.0001269793688157527,RandomForestClassifier(random_state=42),0.5,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.968377789819141,0.6308762560607124,0.9274509803921568,0.7652426901344361,0.18640016825388633,8,0.64,0.9662921348314607,0.7301587301587301,0.9259259259259259,0.8155941977290292,0.13510690201549597,4
0.07241451740264893,0.0023764558503867857,0.0072217583656311035,0.0003228421029797078,RandomForestClassifier(random_state=42),0.5,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9169486936510084,0.7420152863419858,0.8034188034188035,0.7280956958529494,0.17238764193091793,16,0.6,0.9325842696629213,0.7301587301587301,0.8148148148148148,0.7693894536591166,0.12137529411286618,14
0.07120400667190552,0.002423255963280017,0.0063765645027160645,0.00015132363309720782,RandomForestClassifier(random_state=42),0.5,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.6605331787887568,0.838095238095238,0.7371571042209988,0.20469814556117752,14,0.6,1.0,0.6507936507936508,0.8518518518518519,0.7756613756613757,0.16014187041898717,12
0.06887990236282349,0.0014511671338718077,0.0060124993324279785,0.00028042425848055915,RandomForestClassifier(random_state=42),0.5,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,1.0,0.7884210526315789,0.8034188034188035,0.7604599640125955,0.19773220681987808,9,0.6,1.0,0.7777777777777778,0.8148148148148148,0.7981481481481482,0.14203836495588637,7
0.06873202323913574,0.0022001285856806403,0.006073713302612305,0.000260668332728072,RandomForestClassifier(random_state=42),0.5,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.6070175438596492,1.0,0.7420152863419858,0.6793516560958421,0.7570961215743692,0.1481532206424611,10,0.68,1.0,0.7301587301587301,0.7407407407407407,0.7877248677248678,0.12468635379574342,10
0.07103902101516724,0.0018735936381916664,0.00720667839050293,0.0002006890425385048,RandomForestClassifier(random_state=42),0.6,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9490205966244859,0.9374572795625428,0.820009350163628,0.8101882401540977,0.1671088829570428,2,0.64,0.9438202247191011,0.9365079365079365,0.8148148148148148,0.8337857440104631,0.12305714781407727,2
0.07121068239212036,0.0023565865685812636,0.007080078125,0.00019358685723752184,RandomForestClassifier(random_state=42),0.6,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.7809523809523808,0.9490205966244859,0.9533914361500568,0.8560606060606061,0.8848562549468824,0.07148310680034682,1,0.8,0.9438202247191011,0.9523809523809523,0.8518518518518519,0.8870132572379763,0.0638506039254842,1
0.08527612686157227,0.007650253081720475,0.008448541164398193,0.0018352685544140166,RandomForestClassifier(random_state=42),0.6,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.5342657342657343,1.0,0.7261904761904762,0.7457471264367816,0.7515508342232481,0.16554201386833176,12,0.64,1.0,0.7142857142857143,0.7407407407407407,0.7737566137566139,0.13574216118931884,13
0.07974106073379517,0.008506147851692668,0.008388757705688477,0.0033688881297706356,RandomForestClassifier(random_state=42),0.6,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.9890243947796139,0.5129870129870129,0.7777777777777778,0.6824472963861011,0.215537671410743,20,0.6,0.9887640449438202,0.5238095238095238,0.7777777777777778,0.7225878366327804,0.1791900519096945,24
0.07739561796188354,0.00471912640089152,0.007221400737762451,0.0005549703782149989,RandomForestClassifier(random_state=42),0.6,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.7285714285714286,1.0,0.6773455377574371,0.8170426065162907,0.8057398932112891,0.12278520153595456,3,0.76,1.0,0.6666666666666666,0.8148148148148148,0.8103703703703704,0.12162141894964515,5
0.08894544839859009,0.01601881545463052,0.006556212902069092,0.00015984968953344355,RandomForestClassifier(random_state=42),0.6,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.7809523809523808,1.0,0.5524193548387096,0.8034188034188035,0.7841976348024735,0.15864411183789365,6,0.8,1.0,0.5555555555555556,0.8148148148148148,0.7925925925925926,0.1579185600394655,9
0.18201583623886108,0.15014734286866452,0.008111715316772461,0.0010358433007815627,RandomForestClassifier(random_state=42),0.7,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.8294117647058823,0.7200147892969573,0.8036045587065996,0.6666666666666666,0.7549244448440264,0.06505042998530944,11,0.84,0.651685393258427,0.7936507936507936,0.6666666666666666,0.7380007133939718,0.0806840545171788,19
0.08641260862350464,0.0062775843037433405,0.008245706558227539,0.0006921575304238808,RandomForestClassifier(random_state=42),0.7,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.9180555555555556,0.7747486184904527,0.7731092436974789,0.706959706959707,0.7932182811757986,0.07708824250230162,5,0.92,0.7191011235955056,0.7619047619047619,0.7037037037037037,0.7761773973009928,0.08573037159024749,11
0.07896453142166138,0.012473767399288323,0.007149994373321533,0.0002942296519319062,RandomForestClassifier(random_state=42),0.7,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.8748663101604278,0.968377789819141,0.471457548536656,0.5802298850574713,0.7237328833934241,0.20428435943243917,17,0.88,0.9662921348314607,0.49206349206349204,0.5925925925925926,0.7327370548718863,0.19608581318211646,20
0.08861255645751953,0.031047120119909972,0.009175240993499756,0.003461430246556529,RandomForestClassifier(random_state=42),0.7,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.8748663101604278,0.7386166836687208,0.3313038313038313,0.6666666666666666,0.6528633729499116,0.20014370098157055,23,0.88,0.6741573033707865,0.3968253968253968,0.6666666666666666,0.6544123417157125,0.1715960793104543,36
0.13661885261535645,0.004205131795977642,0.00809401273727417,0.0014058270838196345,RandomForestClassifier(random_state=42),0.7,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.9595925297113752,0.8183661400692742,0.471457548536656,0.6731034482758621,0.7306299166482919,0.18069389449899048,15,0.96,0.7752808988764045,0.49206349206349204,0.6666666666666666,0.7235027644016407,0.16985758478906957,22
0.08018094301223755,0.00539183887679135,0.007188737392425537,0.0007919626489930482,RandomForestClassifier(random_state=42),0.7,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.881159420289855,0.9585657787904978,0.5129870129870129,0.8549019607843137,0.8019035432129199,0.17110387474444289,4,0.88,0.9550561797752809,0.5238095238095238,0.8518518518518519,0.8026793888591641,0.1653658792395352,6
0.0723455548286438,0.0022579682140357825,0.008621394634246826,0.0026827788403330807,RandomForestClassifier(random_state=42),0.8,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.31029411764705883,0.018573721623480855,0.5714285714285714,0.16666666666666666,0.2667407693414445,0.20391987426960523,38,0.44,0.10112359550561797,0.5714285714285714,0.3333333333333333,0.36147137506688065,0.1723524622343896,38
0.1267709732055664,0.06675773198309176,0.01348799467086792,0.007180882589665248,RandomForestClassifier(random_state=42),0.8,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.22857142857142854,0.018573721623480855,0.22115384615384617,0.16666666666666666,0.15874141575385556,0.08438206894594574,39,0.4,0.10112359550561797,0.3333333333333333,0.3333333333333333,0.29194756554307116,0.11348422763109278,39
0.1528497338294983,0.07642631352281566,0.009177684783935547,0.0012084660619867357,RandomForestClassifier(random_state=42),0.8,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.22857142857142854,0.5646129016361128,0.22115384615384617,0.16666666666666666,0.29525121075701355,0.15734223708656678,37,0.4,0.48314606741573035,0.3333333333333333,0.3333333333333333,0.3874531835205992,0.06158828419537076,37
0.06956392526626587,0.003065329027325968,0.006267189979553223,0.00011820038392060016,RandomForestClassifier(random_state=42),0.8,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,41,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,41
0.0687711238861084,0.002437993862546953,0.006445169448852539,0.0001330959839560723,RandomForestClassifier(random_state=42),0.8,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,41,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,41
0.0689573884010315,0.0027160886222771167,0.006239831447601318,0.0002507027973106287,RandomForestClassifier(random_state=42),0.8,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.22857142857142854,0.08413927739342943,0.12698412698412698,0.16666666666666666,0.1515903749039129,0.05317070431434805,40,0.4,0.1348314606741573,0.2857142857142857,0.3333333333333333,0.2884697699304441,0.09755005677211195,40
